Category,Item,Option A (Aluminum Strip),Option B (Vent Pucks),Option C (Full Replacement - Metal)
Fixed Costs,SV-50 Removal & Roof Patching,1817.53,1817.53,1817.53
Fixed Costs,Attic Insulation & Air Sealing (R60+),7924.00,7924.00,7924.00
Fixed Costs,Disposal & Hazardous Testing,300.00,300.00,300.00
Variable Costs,Soffit Installation Labor & Materials,2277.23,2943.20,4318.66
,,,,,
,SUBTOTAL,12318.76,12984.73,14360.19
,GST (5%),615.94,649.24,718.01
,TOTAL PROJECT COST,12934.70,13633.97,15078.20
,,,,,
Notes,Description,Continuous vent strips. Code compliant (60/40 ratio).,Circular vent pucks. Insufficient ventilation (23% deficit).,Full stucco removal + new perforated metal soffit + 12 LED lights.
Notes,Pros/Cons,Best Value. Functional but visible.,Not Recommended by Justin.,Premium Look. Includes lighting. Waiting on Wood pricing.
